,heading,content,extract_tag,len_cut_heading,len_cut_content,labels
189,中國企業斥巨資高價收購加拿大最大基建集團- 無憂資訊,2017年 - 中國交通建設股份有限公司國際控股公司是中國交通建設股份有限公司工程建設公司進行海外投資和融資的分支機構。 中交以每股$20.37的高價格,中國 企業斥 巨資 高價 收購 集團 無憂 資訊 基建 加拿大 最大 建設 中國 2017 國際 進行 投資 融資 機構 中交以 20.37 高價格 交通 有限公司 股份 控股公司 分支 每股 海外 工程 公司,11.0,20.0,0
190,中國對外輸齣發展下的大馬| 東方網| 馬來西亞東方日報,2017年 - 非法賭博「興旺」 鑾警掃賭不手軟 . 定案要開工，由中國鐵路工程總公司（CREC）、中國鐵建公司（CRCC）及中國交通建設公司（CCC）主要承建。,中國 外輸 發展 大馬 東方網 西亞 東方 日報 中國 2017 賭博 興旺 鑾警 賭不手 開工 鐵路 CREC 鐵建 CRCC 建設 CCC 公司 定案 承建 非法 交通 工程 主要,8.0,20.0,0
191,發生交通事故“私瞭” 還是“公瞭” 區彆都在哪兒？ - 觀點- 中國交通文化 ,2018年 - 私瞭”交通事故與“公瞭”的不同之處1、對現場的處理不同“私瞭”事故時，  公瞭”事故時，隻要警察認為事故事實清楚並已確定瞭責任，就必須撤除現場,發生 還是 哪兒 觀點 中國 交通事故 交通 文化 現場 事故 2018 之處 處理 認為 並已 確定 瞭責任 必須 撤除 不同 交通事故 警察 故事 清楚,8.0,16.0,0
192,否認抬高鐵路造價300億<br>中國公司喊告《砂報告  - Malaysiakini,2016年 - 揭弊網站《砂拉越報告》指控政府串通中國交通建設股份有限公司，抬高半島東  我們會繼續留意這些由特定媒體作齣的虛假指控，並采取必要行動，,否認 鐵路 造價 300 br 中國 喊告 報告 Malaysiakini 抬高 公司 指控 2016 揭弊 網站 砂拉越 報告 中國 建設 半島東 我們 繼續 這些 媒體作 虛假 行動 串通 抬高 留意 特定 必要 交通 采取 有限公司 股份 政府,11.0,25.0,0
193,港珠澳大橋建設環保先行-中國青年報,2012年 - 這便是港珠澳大橋島隧工程的東人工島，由中國交通建設有限公司（以下  建立瞭旨在實現“零傷害、零事故、零汙染”的HSE（健康、安全、環保）體係。,港珠 澳大橋 建設 環保 中國 先行 青年 2012 港珠 澳大橋島 中國 建設 實現 零傷害 汙染 HSE 環保 旨在 事故 人工 便是 健康 交通 工程 安全 有限公司 以下 建立,7.0,21.0,24
194,中國交通建設CHINA COMM CONS - 股票財經新聞- 經濟通, - 交通運輸部昨日印發關於全麵加強生態環境保護堅決打好汙染防治攻堅戰的實施意見，研究製定運輸結構調整行動計劃，減少公路貨運量，增加鐵路,中國 建設 CHINA COMM CONS 財經 新聞 經濟通 交通 股票 整行 運輸部 印發關 加強 生態 環境 保護 堅決 汙染 攻堅戰 實施 意見 動計劃 減少 貨運量 鐵路 防治 公路 交通 昨日 增加 研究,10.0,22.0,0
195,「國傢所需香港所長----共拓一帶一路策略機遇」論壇在北京舉行（附圖 ,2018年 -  院長硃民、資深大律師袁國強、中國交通建設董事長劉起濤、香港建築師學會會長陳沐文和羅兵鹹永道會計師事務所亞太及大中華區主席趙柏基。,所長 ---- 共拓 一帶 機遇 論壇 舉行 附圖 一路 香港 策略 北京 2018 院長 資深 大律師 袁國強 中國 建設 劉起濤 建築師 學會會長 文和羅兵 永道 計師 事務 所亞太及 中華區 柏基 董事 交通 香港 主席,12.0,21.0,0
196,公共安全視角下的城市風險管理 - 同濟大學交通運輸工程學院,2016年 - 中國交通建設股份有限公司總工程師、港珠澳大橋項目總經理 . 由事故案例和警情案例，分析工程險情發生的原因和影響因素，由地質源頭、設計,視角下 風險 同濟 大學 運輸 學院 公共安全 交通 工程 城市 管理 案例 2016 中國 建設 港珠 澳大橋 項目 總經理 警情 險情 發生 影響 由地 質源頭 設計 工程 事故 交通 有限公司 原因 因素 分析 股份,11.0,23.0,24
197,關於對正平路橋建設股份有限公司虛假投標的處罰通報- 甘肅省交通工程 ,"2017年 - 甘肅省交通工程質量安全監督管理局,甘肅交通,門戶網站.",關於對 路橋 建設 虛假 投標 處罰 通報 甘肅省 正平 交通 工程 有限公司 股份 2017 甘肅省 質量 監督 甘肅 門戶 網站 交通 管理局 工程 安全,13.0,11.0,21
198,中國交通建設監理協會會員 - 四川省公路工程谘詢監理事務所,中國交通建設監理協會會員.  所長信箱; 廉政郵箱; 舉報投訴. 資質榮譽. 你現在的位置：首頁 > 資質證書 > 資質榮譽. 中國交通建設監理協會會員.jpg. 友情鏈接：交通,中國 建設 監理 協會會員 詢監 務所 公路工程 理事 四川省 交通 資質 中國 建設 監理 協會會員 榮譽 交通 所長 郵箱 舉報 投訴 你現 首頁 證書 jpg 鏈接 廉政 信箱 友情 位置,10.0,20.0,0
199,振華工程有限公司 - 中央人民政府駐香港特彆行政區聯絡辦公室,2007年 - 振華工程有限公司（以下簡稱“振華公司”）成立於1982年，是中國交通建設集團旗下的中國港灣工程有限責任公司在香港設立的代錶公司，代錶中國,振華 區聯絡 公室 中央人民政府 行政 香港 工程 有限公司 中國 振華 2007 簡稱 1982 建設 集團 港灣 責任 設立 工程 公司 旗下 有限 交通 香港 有限公司 以下 成立,8.0,19.0,4
200,"福安康（    郭友俱樂部） on Twitter: ""中共背景的中國交通建設股份有限 ",2018年 - 中共背景的中國交通建設股份有限公司CCCC與大馬前首相納吉掌管的財政部達成 . 如果不將孟建柱，劉特佐等盜國賊押上審判颱，那還有天理罵。,股份有限 郭友 俱樂部 Twitter 中國 建設 安康 中共 交通 背景 孟建柱 2018 中國 建設 CCCC 大馬 納吉 財政部 達成 不將 劉特佐 盜國賊 審判 還有 前首相 天理 掌管 中共 交通 背景 有限公司 股份 如果,10.0,23.0,0
201,北京市盈科律師事務所版權所有Copyright 2011 YINGKE LAW FIRM All ,3、專業領域：金融與民間藉貸糾紛、侵權糾紛、建設工程糾紛、買賣閤同糾紛、案外人執行異議糾紛、勞動爭議糾紛、離婚糾紛、財産  （6）代理廈門某集團有限公司與中國交通建設股份有限公司工程施工閤同糾紛。  （12）代理某自然人涉嫌提供非法控製計算機係統程序、工具罪。  聯係我們| 企業郵箱| 律師聯盟| 投訴平颱| 友情鏈接,律師 事務 所版權 Copyright 2011 YINGKE LAW FIRM 盈科 北京市 所有 糾紛 建設 代理 專業 領域 與民間 侵權 買賣 執行 異議 勞動 爭議 離婚 廈門 集團 中國 12 我們 企業 郵箱 律師 聯盟 投訴 鏈接 案外人 有限公司 工程施工 友情 自然人 涉嫌 非法 程序 工具 交通 工程 金融 股份 提供,11.0,38.0,25
202,道路交通事故深度調查實戰常用法律規範匯編 - 人民交通齣版社股份有限 ,本匯編收集整理瞭道路交通事故深度調查相關的81部法律規範，梳理匯編形成瞭《道路交通事故深度調查實戰常用法律規範匯編》，為各地辦案提供參考和索引。匯編共,股份有限 調查 實戰 規範 匯編 版社 交通事故 深度 常用 道路 交通 法律 人民 匯編 調查 規範 交通事故 深度 道路 本匯編 相關 81 實戰 辦案 參考 法律 收集整理 索引 梳理 常用 各地 提供 形成,13.0,20.0,0
203,中國交通建設與安徽省訂高速公路PPP項目投資協議_證券_騰訊網,2017年 - 中國交建(01800.HK)近日與安徽省簽訂高速公路PPP項目投資協議，項目總投資92.28億元人民幣。 據瞭解，項目是G3W德州至上饒高速閤肥至樅陽,中國 建設 PPP 項目 投資 協議 證券 騰訊網 安徽省 高速公路 交通 項目 投資 2017 中國 交建 01800 HK 簽訂 PPP 協議 92.28 億元 瞭解 G3W 肥至 樅陽 德州 至上 安徽省 高速公路 高速 近日 人民,11.0,23.0,0
204,警惕騙局！這樣的非法社會組織，民政部已經公開三批瞭！_資訊_當代醫生,2018年 - 據瞭解，這些非法社會組織通常打著社會組織旗號，騙取大傢的信任，非法開展各類會議、培訓、慈善  起，民政部開始對已發現的非法社會組織進行公示，目前已發布三批次名單。  中國交通建設管理專業委員會  登陸中國社會組織網（www.chinanpo.gov.cn）首頁的“投訴舉報”專欄，在綫發送相關證據材料；.,騙局 這樣 社會 組織 已經 公開 資訊 當代 醫生 民政部 三批 警惕 非法 社會 組織 中國 非法 2018 瞭解 這些 打著 旗號 騙取 開展 各類 會議 培訓 開始 發現 進行 發布 名單 建設 專業 委員會 登陸 組織網 www chinanpo gov cn 首頁 投訴 舉報 專欄 民政部 批次 公示 慈善 信任 交通 材料 通常 管理 目前,13.0,42.0,20
205,青海：交通事故處理經費納入財政預算保障- 澳門賭博網/澳門賭博網站 ,"2018年 - 【聲明】：轉載《中國公路》《澳門賭博網》《中國高速公路》《中國交通建設監理》  文章摘要：青海：交通事故處理經費納入財政預算保障,二部麯周詳班荊道故,  為進一步規範交通事故處理收費，澳門賭博網：減輕群眾負擔，近日，青海省",澳門 賭博網 處理 經費納入 財政 預算 交通事故 青海 保障 中國 澳門 賭博網 處理 交通事故 2018 聲明 轉載 建設 監理 經費納入 財政 預算 詳班 荊道 為進 規範 收費 減輕 群眾 負擔 二部 摘要 青海省 青海 高速公路 文章 保障 一步 公路 交通 近日,9.0,32.0,21
206,中國交通建設集團-北京室內除甲醛_北京植物牆_北京綠植牆【北京清雲 ,中國交通建設集團. 來源: 未知 時間: 2017-04-12 13:06 作者: 管理員. 北京室內除甲醛_北京植物牆_北京綠植牆【北京清 微信掃描二維碼瞭解更多. 下一篇：興源科技園.,北京 除甲醛 中國 建設 集團 綠植牆 交通 植物 北京 除甲醛 中國 建設 集團 來源 時間 2017 04 12 13 06 綠植牆 微信 描二維碼 瞭解 興源 未知 一篇 交通 作者 科技 植物 管理,8.0,24.0,0
207,上海振華重工（集團）股份有限公司2017 年半年度報告摘要,2017年 - 整，不存在虛假記載、誤導性陳述或重大遺漏，並承擔個彆和連帶的法律責任。 3  上述前十大股東中，中國交通建設股份有限公司與ZHEN HUA,振華 集團 2017 報告 半年度 摘要 重工 有限公司 股份 上海 2017 虛假 記載 誤導 性陳述 遺漏 並承擔 連帶 責任 股東 中國 建設 ZHEN HUA 十大 交通 法律 重大 上述 有限公司 股份 存在,10.0,22.0,12
208,【立場新聞】本土研究社：中國港灣大型基建工程威水史(1659) - 港文集,2015年 - 中國哈爾濱陽明灘大橋(2011)由中港灣母公司中國交通建設承包，是長江  同類事故其實在十年前中港灣承包的印尼蘇臘馬都大橋興建時也發生過，,研究社 立場 新聞 中國 港灣 威水史 1659 基建工程 文集 本土 大型 中國 大橋 中港 承包 2015 哈爾濱陽 明灘 2011 建設 同類 其實 蘇臘馬 興建時 發生過 印尼 母公司 事故 十年 交通,11.0,19.0,0
209,中國“帶路”重挫馬來西亞叫停新馬高鐵 - 博訊,2018年 - 馬來西亞政府需要一些時間與新加坡政府商談，盡可能地減少這筆違約金。  包括被他反復提到過的、由中國交通建設集團承建的東海岸鐵路項目。,中國 帶路 西亞 新馬 高鐵 博訊 叫停 重挫 2018 西亞 時間 商談 減少 這筆 違約金 過的 中國 建設 集團 鐵路 項目 新加坡政府 承建 海岸 提到 交通 政府 需要 包括 一些 可能,8.0,23.0,0
210,“一帶一路”PPP項目案例 - 政府和社會資本閤作中心,2017年 - 項目投標保函和履約保函金額較高，如因發生融資風險導緻違約，將造成較大經濟損失。  為基礎的融資方案，詳細研究當地法規，盡快與銀行落實融資事宜，避免融資關閉期限帶來的違約風險。  中國交通建設股份有限公司肖笛郭偉.,一帶 PPP 項目 社會 資本 案例 一路 中心 政府 融資 2017 項目 投標 保函 履約 保函金額 發生融 資風險 較大經濟 損失 基礎 詳細 當地 法規 盡快 銀行 落實 關閉 帶來 違約 風險 中國 建設 肖笛 郭偉 如因 事宜 期限 避免 交通 方案 有限公司 造成 股份 研究,9.0,36.0,0
211,港珠澳大橋- 維基百科，自由的百科全書,港珠澳大橋（英語：Hong Kong-Zhuhai-Macao Bridge；葡萄牙語：Ponte Hong  如大橋上發生意外，會依屬地原則處理，如車輛處於中國內地水域上的橋段，便須遵守 . 東湧東新發展區的居民帶來相當大的影響，包括空氣汙染等等，同時通車後所帶來的  2012年至：中國青年報社、中國高校傳媒聯盟、中國交通建設,百科 港珠 澳大橋 維基 全書 自由 中國 Hong 港珠 澳大橋 英語 Kong Zhuhai Macao Bridge Ponte 如大橋 上發 依屬 原則 處理 如車輛 中國內 橋段 便須 東湧 東新 發展區 帶來 相當 影響 空氣 汙染 同時 通車 2012 報社 傳媒聯盟 建設 高校 葡萄牙 遵守 水域 生意 青年 交通 等等 居民 包括,6.0,43.0,24
212,瀚華動態 - 瀚華金控,遼寜大美基業與中國交通建設有限公司東北區域總部達成戰略閤作  嚴正聲明近期，我司發現個彆機構及個人冒用“瀚華”“瀚華金融”等名義開展非法集資等違法活動。,瀚華動態 瀚華金控 瀚華 大美 基業 中國 建設 東北區域 總部 達成 戰略 嚴正 聲明 我司 發現 機構 名義開展 集資 違法 活動 冒用 非法 交通 金融 近期 有限公司,2.0,24.0,0
213,這傢創多項“世界之最”的央企來西安啦！又有啥大動作？_手機新浪網,2018年 - 2016年，中國交通建設有限公司與西安市簽署《“十三五”戰略閤作框架協議》；. 今年，永康書記一行訪問綠城中國控股有限公司，考察地鐵上,創多項 企來 大動作 手機 世界之最 新浪 西安 2018 2016 中國 建設 簽署 戰略 協議 書記 訪問 地鐵上 有限公司 永康 西安市 框架 十三 一行 城中 考察 控股 交通 今年,7.0,21.0,0
214,穆迪授予中交建的永久債券(P)A3評級 - Moody's,2015年 - 所占比例較高，或者穆迪認為該公司可能會在違約前延期支付大量利息，  該公司成立於2006 年10 月，由中國交通建設集團有限公司(中交集團，未.,中交建 債券 A3 評級 Moody 穆迪 永久 授予 2015 認為 違約 2006 10 中國 建設 集團 交集 穆迪 延期 利息 公司 支付 交通 比例 有限公司 或者 成立 大量 可能,8.0,21.0,0
215,馬來西亞或掌握中企違規證據新媒揭更多內幕(圖) - 1+新聞網,馬來西亞政府原定為東鐵項目嚮中國進齣口銀行貸款550億林吉特，用以支付主要建築商中國交通建設股份有限公司。 對此，新加坡《聯閤早報》援引廣州暨南,西亞 違規 證據 新媒 內幕 新聞網 中企 掌握 林吉特 暨南 西亞 東鐵 項目 中國進 銀行 貸款 550 建築 商中國 建設 對此 早報 廣州 原定 援引 新加坡 用以 支付 交通 有限公司 股份 政府 主要,8.0,25.0,5
216,中國交通建設：馬來西亞高鐵推倒重來？ 不擔心！-財經頻道-手機搜狐,中國交通建設（01800-HK)原參與建設的馬來西亞吉隆波至新加坡高鐵項目，自馬來西亞新政府上颱後，齣現波摺，要求與中方重新談判。集團董事長劉起濤，於6月28,中國 建設 西亞 高鐵 重來 擔心 財經 頻道 手機 推倒 搜狐 交通 建設 西亞 中國 01800 HK 原參 吉隆波 高鐵 項目 自馬來 現波 談判 集團 劉起濤 28 新政府 中方 新加坡 董事 交通 重新 要求,12.0,22.0,5
217,淺析高速鐵路建設投資的産業經濟效應 - 宏觀經濟研究院,交通事故將中國高鐵推嚮瞭“風口浪尖”。2011年12月  對環境的汙染程度，由數據可知，高速鐵路對主要汙 . 來，中國交通建設陸續中標瞭京滬、滬寜、石武、貴廣、.,淺析 鐵路 建設 投資 業經濟 效應 宏觀 經濟 研究院 高速 將中國 高鐵 風口 2011 12 環境 汙染 由數據 鐵路 中國 建設 陸續 中標 瞭京滬 貴廣 石武 浪尖 交通事故 可知 高速 交通 程度 主要,10.0,23.0,0
218,熱血時報| 羽田機場打擊非法白牌車中國籍司機被捕,2018年 - 羽田機場早前錶示愈來愈多中國人從事非法白牌車經營，已趁著華人地區  遊客亦應注意，若乘搭不閤法交通工具萬一發生意外，有機會不受旅遊,熱血 時報 機場 打擊 白牌車 中國籍 司機 羽田 被捕 非法 2018 機場 示愈來 中國人 白牌 車經營 著華人 地區 遊客 萬一發 機會 旅遊 羽田 交通工具 早前 非法 不受 生意 注意,10.0,19.0,0
219,透視大馬| The Malaysian Insight,東海岸鐵路計劃（ECRL）營運公司馬來西亞銜接鐵道公司（MRL）已經指示工程承包商中國交通建設股份有限公司（CCCC）立即停止這項 大馬銜接鐵道公司,透視 大馬 Malaysian Insight 接鐵道 鐵路 計劃 ECRL 營運 西亞銜 MRL 已經 中國 建設 CCCC 這項 大馬銜 公司 承包商 海岸 指示 停止 交通 立即 工程 有限公司 股份,4.0,23.0,0
220,【中交集團】中交集團招聘|待遇|麵試|怎麼樣-看準網,中國交通建設股份有限公司（以下簡稱中交股份）成立於2006年，經國務院批準，由中國交通建設集團有限公司（國務院國資委監管的中央企業）整體重組改製,交集 怎麼樣 準網 招聘 待遇 中國 建設 簡稱 中交 2006 經國務院 批準 集團 國務院 國資委 監管 企業 整體 重組 交通 有限公司 股份 以下 中央 成立,5.0,20.0,23
221,央企綠色産業發展的經驗模式和建議—新聞—科學網,2018年 - 隨著社會經濟發展，人口、資源和環境之間的矛盾日趨嚴重，水汙染、大氣汙染、  等過程中不會對環境造成汙染、破壞，這樣的企業聯閤體就構成瞭綠色産業。  中國交通建設股份公司，作為大型央企，靠其品牌、資金、設計能力、疏浚,央企綠色 業發展 經驗 建議 新聞 科學網 模式 汙染 環境 2018 隨著 社會 經濟 發展 資源 之間 日趨 嚴重 大氣 過程 中不會 破壞 這樣 企業聯 閤體 構成 瞭綠色 中國 建設 作為 央企 資金 設計 疏浚 股份公司 矛盾 品牌 交通 大型 人口 造成 能力,7.0,35.0,0
222,中交集團南方總部項目塔吊倒塌7四2傷中交集團怎麼樣？ - 金巧網,2017年 - 據瞭解，中交集團南方總部基地項目建設分A、B、C三區，而本次事故發生  2009年8月，中國交通建設股份有限公司（以下稱簡稱中國交建[股評]）與,交集 總部 項目 傷中 團怎麼樣 金巧網 塔吊 倒塌 南方 建設 中國 2017 瞭解 總部 項目 三區 發生 2009 簡稱 交建 股評 交集 事故 南方 基地 交通 本次 有限公司 以下 股份,9.0,21.0,26
223,2018年經濟工作三大攻堅戰供給側 - 中交西南投資發展有限公司,2017年 - 中共中央政治局會議部署，2018年要統籌規劃，有序推進，確保打贏防範化解重大風險，精準脫貧，汙染防治三大攻堅戰。 具體而言，防範,2018 經濟 三大攻 堅戰供 給側 中交 投資 發展 西南 有限公司 工作 2017 會議 2018 統籌 規劃 推進 確保 贏防範 風險 精準 脫貧 汙染 三大攻 堅戰 具體 防範 中共中央政治局 化解 有序 防治 部署 而言 重大,11.0,23.0,0
224,打擊整治非法社會組織專項行動部署- Powered by EmpireCMS,2018年 - ，民政部、公安部聯閤召開打擊整治非法社會組織專項行動部署工作會，民政部門和公安機關在前一段集中摸底排查工作的基礎上，自2018,打擊 社會 組織 專項 行動 Powered EmpireCMS 整治 非法 部署 2018 民政部 召開 打擊 社會 組織 專項 行動 門和 機關 基礎 摸底 排查 公安部 工作 公安 整治 非法 部署 一段 集中,10.0,21.0,20
225,使中國的城市交通建設熱潮可持續化 - Paulson Institute,腐敗醜聞，鐵道部在. 2013年被分拆為兩. 部分：國傢  少環境汙染，並提高. 城市齣行的便利，尤 . 中國交通建設融資的可持續性對創建. 更加平衡的財政體係至關,中國 建設 熱潮 可持續化 Paulson Institute 城市交通 腐敗 醜聞 鐵道部 2013 少環境 汙染 中國 建設 融資 可持續 創建 財政體 至關 分拆 便利 平衡 交通 更加 城市 提高 部分,7.0,21.0,0
226,威脅國傢安全！加拿大阻止中國企業收購愛康公司(組圖) - 社區新聞- 看 ,2018年 - 在今年2月，聯邦自由黨政府宣布，對愛康公司同中國交通建設有限公司的  涉嫌刻意隱瞞全資子公司環境汙染和生態破壞事故，陷入一片質疑聲中。,威脅國 中國 企業 收購 愛康 組圖 社區 新聞 阻止 加拿大 安全 公司 2018 聯邦 對愛康 同中國 建設 隱瞞 全資 環境 汙染 生態 破壞 質疑聲 刻意 涉嫌 事故 子公司 陷入 交通 自由 一片 宣布 有限公司 政府 今年 公司,12.0,25.0,13
227,中國交建京津冀區域總部將落戶天津- 中國發展網- 漢豐網,recent - 下午，天津河西區人民政府與中國交通建設股份有限公司簽署戰略閤作協議。這是本市積極響應國傢“一帶一路”倡議，深度融入京津冀協同,中國 京津冀 交建 區域 總部將 落戶 發展網 漢豐網 天津 京津冀 recent 中國 建設 簽署 戰略 作協議 這是 積極響 應國 一帶 倡議 協同 本市 融入 河西 人民政府 深度 天津 一路 下午 交通 有限公司 股份,9.0,24.0,9
228,十年央企情攜手又同行－－2018“香港大學生對話央企高管  - 中國青年網,recent -  中國建材集團有限公司黨委副書記孫力實，中國華電集團有限公司董事會秘書、總經理助理辦公廳主任王緒祥，中國交通建設集團有限公司董事會,央企情 攜手 2018 大學生 對話央 企高管 中國 同行 十年 青年 香港 集團 中國 有限公司 董事 recent 黨委副書記 孫力實 中國華電 秘書 總經理 辦公廳 王緒祥 建設 助理 建材 交通 主任,11.0,17.0,0
229,中國駐加大使:中加貿易關係惡化澳有責_ 澳洲新快網, - 加拿大總理特魯多（Justin Trudeau）最近稱，他曾與“澳洲同僚”討論過中國控股的工程公司，然後決定叫停中國交通建設股份有限公司收購多倫多,中國 貿易關 惡化 澳有責 快網 中加 澳洲 加大 中國 總理 特魯多 Justin Trudeau 討論過 然後決定 建設 收購 多倫多 叫停 同僚 澳洲 加拿大 控股 交通 最近 工程 有限公司 股份 公司,8.0,21.0,0
230,信息披露,recent - 本公司董事會及全體董事保證本公告內容不存在任何虛假記載、誤. 導性陳述或者重大遺漏，並對其內容的真實性、準確性和完整性承擔個. 彆及連帶,披露 信息 內容 董事 recent 會及 全體 保證本 虛假 記載 導性 遺漏 並對 實性 準確性 擔個 連帶 完整性 公告 重大 或者 任何 存在 公司,2.0,22.0,12
231,十年央企情攜手又同行－－2018“香港大學生對話央企高管”活動  - 大眾網,recent -  集團有限公司董事會秘書、總經理助理辦公廳主任王緒祥，中國交通建設集團有限公司董事會秘書、董事會辦公室主任周長江，以及國資委黨建局、,央企情 攜手 2018 大學生 對話央 企高管 活動 大眾網 同行 十年 香港 集團 秘書 董事 recent 總經理 辦公廳 王緒祥 中國 建設 辦公 周長 國資委黨 建局 有限公司 室主任 助理 交通 主任 以及,11.0,19.0,0
232,道達爾與中國交建簽署互為優先供應商協議_國際新聞_大眾網,recent - 新華社巴黎電(記者徐甜)法國能源巨頭道達爾公司與中國交通建設股份有限公司(簡稱“中國交建”)9日在巴黎簽署雙方互為優先供應商的閤作,達爾 中國 交建 簽署 互為 優先供 應商 協議 國際 新聞 大眾網 中國 巴黎 recent 新華社 記者 徐甜 法國 巨頭 達爾 建設 簡稱 交建 簽署 雙方 互為 優先供 應商 能源 交通 有限公司 股份 公司,11.0,22.0,7
233,中國交建京津冀區域總部將落戶河西-新聞中心-北方網,recent - 天津北方網訊：，河西區人民政府與中國交通建設股份有限公司簽署戰略閤作協議。這是天津積極響應國傢一帶一路倡議，深度融入京津冀,京津冀 中國 交建 區域 總部將 落戶 新聞 河西 北方 中心 天津 京津冀 recent 網訊 中國 建設 簽署 戰略 作協議 這是 積極響 應國 一帶 倡議 融入 河西 人民政府 深度 一路 北方 交通 有限公司 股份,10.0,23.0,9
234,常熟市報慈綠化工程有限公司建造師李瓊中標詳細信息- 建築網, 鯤鵬建設集團有限公司 · 中冶東方工程技術有限公司 · 中國交通建設股份有限公司 · 東軟集團股份有限公司 · 杭州友佳精密機械有限公司 · 通州建總集團有限公司,報慈 綠化 師李瓊 中標 詳細 建築網 常熟市 建造 工程 信息 有限公司 有限公司 建設 集團 鯤鵬 東方 技術 中國 東軟 友佳 機械 建總集團 股份 通州 精密 中冶 杭州 交通 工程,11.0,18.0,0
235,2018年《財富》中國500強排行榜發布：這些保險公司排名又雙叒叕上升一 ," - 15 中國交通建設股份有限公司 482,804.3 16 中國中信股份有限公司 390,344.4 17 中國電信股份有限公司 366,229 18 京東商城電子商務有限公司",2018 財富 中國 500 發布 這些 保險 排行榜 排名 上升 公司 中國 有限公司 股份 15 建設 482 804.3 16 390 344.4 17 電信 366 229 18 京東 電子 商務 商城 中信 交通,11.0,21.0,0
236,【重組？】中交、中鐵、中鐵建閤並：概率幾何？_工程局-慢錢頭條,recent - 2005年12月至2006年8月任中國交通建設集團有限公司副總經理。  2016年，中央企業領導人員任免，陳奮健任中國交通建設集團有限 . 如果您發現本平颱上有侵犯您的知識産權的作品，請與我們取得聯係，我們會及時修改或刪除。 . 舉報. 違規或不良信息 廣告、釣魚詐騙 內容不完整 涉嫌侵權 其他問題,重組 中交 中鐵 中鐵建 閤並 幾何 慢錢 頭條 工程局 概率 建設 集團 我們 recent 2005 12 2006 任中國 總經理 2016 企業 領導 人員 奮健任 中國 發現 本平 知識 權的 刪除 舉報 違規 廣告 釣魚 詐騙 內容 侵權 問題 交通 不良信息 任免 涉嫌 侵犯 修改 完整 有限 作品 取得 有限公司 中央 其他 如果,10.0,42.0,0
237,應急管理部：今年以來建築業事故總量同比上升4.3%_滾動新聞_中國 , - 記者12日從應急管理部瞭解到，統計數據顯示，今年以來全國建築業事故總量同比上升4.3%，主要事故類型為坍塌、高處墜落、塔吊和升降機倒塌,應急 以來 建築業 總量 4.3% 滾動 新聞 中國 管理部 事故 同比 上升 今年 事故 記者 12 應急 瞭解 統計 數據 顯示 以來 全國 建築業 總量 4.3% 類型 高處 墜落 塔吊 管理部 坍塌 倒塌 升降 同比 上升 今年 主要,13.0,25.0,0
238,安邦-每日經濟-第5707期-牆外樓,1 -  紀律處分廳局級乾部8900餘人，處分縣處級乾部6.3萬多人，處分基層 . 董事長呂軍齣任中糧集團董事長；中國交通建設集團總經理陳奮健調任,經濟 5707 外樓 安邦 每日 乾部 董事 紀律 分廳 局級 8900 餘人 處分縣 處級 6.3 萬多人 處分 基層 任中 糧集團 中國 建設 集團 總經理 奮健 調任 交通,5.0,22.0,0
240,大豐收娛樂城 - 中國曆史,recent - 據介紹，中國鐵建重工、中國交通建設集團有限公司、中車集團、正泰、上海電氣、特變電工、首鋼礦業、武鋼等中國知名企業也攜帶其最新科研産品，,大豐收 娛樂城 中國 中國 集團 recent 據介紹 鐵建 建設 中車 正泰 電氣 特變 電工 首鋼 礦業 武鋼 中國知 業也 攜帶 名企 科研 重工 最新 交通 有限公司 上海,3.0,24.0,10
241,百傢樂試玩·華宇代理_二手房,1 -  以新設閤並方式組建“中國交通建設集團有限公司” ，中國港灣建設(集團) . 雖然慕尼黑1860原俱樂部主席在“安聯醜聞”辭職後，財政上遭遇瞭空前,樂試 華宇 二手房 代理 中國 建設 集團 以新設 閤並 組建 港灣 雖然 1860 原俱樂部 安聯 醜聞 辭職 財政上 慕尼黑 空前 遭遇 交通 主席 有限公司 方式,4.0,21.0,25
242,智能機器人EAbot在濟南發布助力中國企業智慧管理_時代新聞網,1 - 該款機器人麵嚮財務管理、供應鏈、人力資源管理等多個領域，深化産學研用結閤，EAbot已經在中國交通建設股份有限公司、山東能源臨沂礦業集團,機器 EAbot 在濟南 發布 中國 企業 時代 新聞網 助力 智慧 智能 管理 該款 機器 財務 供應 資源 多個 領域 研用 EAbot 已經 中國 建設 山東 臨沂 礦業 集團 管理 人力 深化 能源 交通 有限公司 股份,12.0,23.0,0
243,"媽媽的胯下點影,求一部av蘿莉玩遊戲- 淩源市新聞網 - 雲南省公路局", - 中國交通建設股份有限公司總工程師，港珠澳大橋島隧工程項目總經理、總  2010年12月的一個夜晚，一口油井發生漏氣事故，井口直接噴射30米,公路局 媽媽 點影 av 蘿莉 玩遊戲 雲南省 胯下 一部 中國 建設 港珠 澳大橋島 項目 總經理 2010 12 一個 發生 漏氣 噴射 30 工程 井口 油井 夜晚 事故 一口 交通 有限公司 直接 股份,9.0,23.0,24
